order_id,customer_id,order_date,region,category,segment,status,units,unit_price,discount_pct,revenue,rev_tier,quarter,region_total,rev_share_pct
ORD5000,1034,04-04-2024,West,Clothing,Regular,Delivered,4,225.1571472,5,855.6,Low,2024Q2,536206.69,0.16
ORD5001,1030,14-05-2024,North,Home,Premium,Pending,2,186.3304233,15,316.76,Low,2024Q2,640634.4,0.049
ORD5002,1061,06-04-2024,West,Books,Regular,Delivered,11,82.14421264,0,903.59,Low,2024Q2,536206.69,0.169
ORD5003,1062,12-05-2024,South,Home,Premium,Delivered,21,499.7203168,0,10494.13,High,2024Q2,527524.29,1.989
ORD5004,1038,06-11-2024,North,Clothing,Premium,Pending,6,581.0823457,20,2789.2,Medium,2024Q4,640634.4,0.435
ORD5005,1054,25-01-2024,East,Home,VIP,Delivered,22,170.7873462,5,3569.46,Medium,2024Q1,544918.75,0.655
ORD5006,1060,08-09-2024,West,Home,VIP,Returned,21,176.0653209,10,3327.63,Medium,2024Q3,536206.69,0.621
ORD5007,1057,16-08-2024,North,Clothing,VIP,Delivered,18,470.07218,10,7615.17,High,2024Q3,640634.4,1.189
ORD5008,1014,26-10-2024,East,Home,Regular,Delivered,4,597.6632581,15,2032.06,Medium,2024Q4,544918.75,0.373
ORD5009,1035,14-11-2024,East,Electronics,Regular,Delivered,15,260.4257964,15,3320.43,Medium,2024Q4,544918.75,0.609
ORD5010,1067,20-02-2024,South,Clothing,Regular,Delivered,10,589.9821148,0,5899.82,High,2024Q1,527524.29,1.118
ORD5011,1080,19-11-2024,North,Electronics,Regular,Delivered,20,423.6794116,20,6778.87,High,2024Q4,640634.4,1.058
ORD5012,1057,19-06-2024,West,Home,Regular,Returned,11,91.93815211,0,1011.32,Low,2024Q2,536206.69,0.189
ORD5013,1080,19-11-2024,East,Clothing,Regular,Delivered,2,191.1848045,15,325.01,Low,2024Q4,544918.75,0.06
ORD5014,1024,23-01-2024,West,Clothing,Premium,Returned,18,578.8177193,5,9897.78,High,2024Q1,536206.69,1.846
ORD5015,1076,28-05-2024,South,Electronics,Regular,Pending,4,481.2843143,10,1732.62,Medium,2024Q2,527524.29,0.328
ORD5016,1069,02-05-2024,North,Electronics,Regular,Delivered,21,564.8055755,5,11267.87,High,2024Q2,640634.4,1.759
ORD5017,1016,21-08-2024,West,Electronics,Regular,Delivered,17,511.1657302,20,6951.85,High,2024Q3,536206.69,1.296
ORD5018,1015,11-03-2024,West,Clothing,VIP,Delivered,11,474.5652126,15,4437.18,Medium,2024Q1,536206.69,0.828
ORD5019,1055,01-06-2024,West,Home,Premium,Returned,6,52.45274798,0,314.72,Low,2024Q2,536206.69,0.059
ORD5020,1062,02-03-2024,West,Clothing,Regular,Delivered,5,167.047334,10,751.71,Low,2024Q1,536206.69,0.14
ORD5021,1054,22-02-2024,East,Clothing,Premium,Delivered,18,598.634052,5,10236.64,High,2024Q1,544918.75,1.879
ORD5022,1047,25-09-2024,South,Home,Premium,Delivered,12,197.8773849,0,2374.53,Medium,2024Q3,527524.29,0.45
ORD5023,1049,19-06-2024,North,Home,VIP,Delivered,7,56.70395415,10,357.23,Low,2024Q2,640634.4,0.056
ORD5024,1049,02-09-2024,West,Clothing,Regular,Delivered,19,240.0714084,20,3649.09,Medium,2024Q3,536206.69,0.681
ORD5025,1046,24-10-2024,North,Electronics,Regular,Delivered,9,419.7172803,5,3588.58,Medium,2024Q4,640634.4,0.56
ORD5026,1014,30-08-2024,West,Home,Regular,Delivered,20,460.9285788,5,8757.64,High,2024Q3,536206.69,1.633
ORD5027,1053,03-07-2024,North,Clothing,Premium,Delivered,13,333.8122146,15,3688.62,Medium,2024Q3,640634.4,0.576
ORD5028,1080,22-06-2024,North,Electronics,Regular,Delivered,1,102.1049491,0,102.1,Low,2024Q2,640634.4,0.016
ORD5029,1020,11-06-2024,West,Clothing,Premium,Returned,3,342.8531735,0,1028.56,Low,2024Q2,536206.69,0.192
ORD5030,1058,20-07-2024,West,Electronics,Regular,Returned,3,226.651868,15,577.96,Low,2024Q3,536206.69,0.108
ORD5031,1038,10-06-2024,South,Electronics,Premium,Delivered,16,287.5554157,10,4140.8,Medium,2024Q2,527524.29,0.785
ORD5032,1025,01-02-2024,North,Electronics,Regular,Delivered,22,51.77787143,20,911.29,Low,2024Q1,640634.4,0.142
ORD5033,1007,03-08-2024,North,Clothing,Regular,Pending,9,242.0569573,0,2178.51,Medium,2024Q3,640634.4,0.34
ORD5034,1007,09-03-2024,East,Clothing,Premium,Delivered,8,176.7937782,0,1414.35,Medium,2024Q1,544918.75,0.26
ORD5035,1068,19-02-2024,North,Electronics,VIP,Delivered,7,583.6004183,10,3676.68,Medium,2024Q1,640634.4,0.574
ORD5036,1075,04-07-2024,South,Electronics,Premium,Delivered,2,478.1773055,0,956.35,Low,2024Q3,527524.29,0.181
ORD5037,1002,24-02-2024,North,Electronics,Regular,Returned,12,102.2096,10,1103.86,Low,2024Q1,640634.4,0.172
ORD5038,1054,14-01-2024,North,Electronics,Premium,Delivered,5,237.1647515,10,1067.24,Low,2024Q1,640634.4,0.167
ORD5039,1002,09-07-2024,East,Clothing,VIP,Delivered,8,163.1401588,20,1044.1,Low,2024Q3,544918.75,0.192
ORD5040,1056,13-04-2024,West,Home,Premium,Delivered,19,304.8384393,20,4633.54,Medium,2024Q2,536206.69,0.864
ORD5041,1075,05-07-2024,South,Electronics,Premium,Returned,12,327.5749574,10,3537.81,Medium,2024Q3,527524.29,0.671
ORD5042,1062,16-11-2024,West,Electronics,Regular,Delivered,14,575.7177708,0,8060.05,High,2024Q4,536206.69,1.503
ORD5043,1078,01-01-2024,West,Clothing,VIP,Delivered,14,348.9927386,15,4153.01,Medium,2024Q1,536206.69,0.775
ORD5044,1020,25-07-2024,South,Clothing,Regular,Delivered,19,480.6126311,5,8675.06,High,2024Q3,527524.29,1.644
ORD5045,1069,10-07-2024,South,Electronics,Regular,Delivered,2,510.1915154,10,918.34,Low,2024Q3,527524.29,0.174
ORD5046,1008,23-10-2024,South,Electronics,Regular,Returned,15,463.5458288,20,5562.55,High,2024Q4,527524.29,1.054
ORD5047,1056,23-06-2024,South,Clothing,Premium,Returned,7,314.044296,20,1758.65,Medium,2024Q2,527524.29,0.333
ORD5048,1058,26-11-2024,South,Books,Regular,Returned,10,205.6663605,15,1748.16,Medium,2024Q4,527524.29,0.331
ORD5049,1013,22-09-2024,South,Electronics,Premium,Delivered,13,364.6988192,0,4741.08,Medium,2024Q3,527524.29,0.899
ORD5050,1077,07-02-2024,East,Home,Regular,Delivered,14,253.5844885,5,3372.67,Medium,2024Q1,544918.75,0.619
ORD5051,1073,01-08-2024,West,Electronics,Premium,Delivered,12,490.2714462,5,5589.09,High,2024Q3,536206.69,1.042
ORD5052,1024,04-04-2024,West,Home,Premium,Returned,2,217.9594856,0,435.92,Low,2024Q2,536206.69,0.081
ORD5053,1041,16-11-2024,South,Electronics,Regular,Delivered,7,156.4694939,15,930.99,Low,2024Q4,527524.29,0.176
ORD5054,1011,29-01-2024,East,Clothing,Premium,Delivered,13,123.5280845,15,1364.99,Low,2024Q1,544918.75,0.25
ORD5055,1057,29-09-2024,South,Electronics,Regular,Delivered,15,444.3754205,0,6665.63,High,2024Q3,527524.29,1.264
ORD5056,1028,20-09-2024,South,Sports,VIP,Returned,19,540.654828,0,10272.44,High,2024Q3,527524.29,1.947
ORD5057,1002,16-03-2024,West,Clothing,Premium,Delivered,12,348.0752672,20,3341.52,Medium,2024Q1,536206.69,0.623
ORD5058,1069,18-02-2024,North,Electronics,Premium,Returned,18,504.9167826,10,8179.65,High,2024Q1,640634.4,1.277
ORD5059,1010,13-04-2024,North,Electronics,Regular,Pending,6,57.9098329,20,277.97,Low,2024Q2,640634.4,0.043
ORD5060,1029,06-04-2024,West,Sports,Regular,Delivered,9,60.49597749,10,490.02,Low,2024Q2,536206.69,0.091
ORD5061,1056,12-09-2024,West,Electronics,Regular,Delivered,9,383.7494658,20,2763,Medium,2024Q3,536206.69,0.515
ORD5062,1034,18-04-2024,West,Clothing,Premium,Delivered,12,66.00520733,0,792.06,Low,2024Q2,536206.69,0.148
ORD5063,1076,20-11-2024,West,Home,Regular,Pending,6,280.6865699,10,1515.71,Medium,2024Q4,536206.69,0.283
ORD5064,1033,04-08-2024,North,Electronics,Premium,Delivered,21,565.0168087,20,9492.28,High,2024Q3,640634.4,1.482
ORD5065,1020,03-08-2024,East,Home,Premium,Delivered,16,506.6812782,20,6485.52,High,2024Q3,544918.75,1.19
ORD5066,1080,21-05-2024,West,Clothing,Regular,Delivered,23,258.9233608,10,5359.71,Medium,2024Q2,536206.69,1
ORD5067,1016,26-05-2024,East,Home,Regular,Returned,16,328.5677239,10,4731.38,Medium,2024Q2,544918.75,0.868
ORD5068,1017,01-04-2024,East,Home,Regular,Delivered,21,414.6320379,20,6965.82,High,2024Q2,544918.75,1.278
ORD5069,1022,25-10-2024,South,Home,Premium,Returned,18,110.9724518,15,1697.88,Medium,2024Q4,527524.29,0.322
ORD5070,1006,18-03-2024,East,Home,Regular,Delivered,11,599.6810161,20,5277.19,Medium,2024Q1,544918.75,0.968
ORD5071,1046,09-09-2024,North,Electronics,Regular,Delivered,16,538.3772021,20,6891.23,High,2024Q3,640634.4,1.076
ORD5072,1028,29-09-2024,East,Electronics,Premium,Delivered,23,192.7477915,10,3989.88,Medium,2024Q3,544918.75,0.732
ORD5073,1015,13-10-2024,North,Electronics,Regular,Returned,4,226.1691272,15,768.98,Low,2024Q4,640634.4,0.12
ORD5074,1011,11-09-2024,North,Clothing,Premium,Delivered,1,219.2805285,20,175.42,Low,2024Q3,640634.4,0.027
ORD5075,1007,14-03-2024,West,Electronics,Regular,Delivered,15,363.3935984,0,5450.9,High,2024Q1,536206.69,1.017
ORD5076,1010,07-07-2024,North,Home,Premium,Delivered,13,132.6973288,20,1380.05,Medium,2024Q3,640634.4,0.215
ORD5077,1043,16-01-2024,West,Electronics,Regular,Delivered,9,495.7680001,20,3569.53,Medium,2024Q1,536206.69,0.666
ORD5078,1020,07-03-2024,North,Electronics,Regular,Delivered,24,132.7539879,20,2548.88,Medium,2024Q1,640634.4,0.398
