order_id,customer_id,order_date,region,category,segment,status,units,unit_price,discount_pct,shipping_cost,rating,revenue,profit,year,month,quarter,day_of_week,is_weekend,net_revenue,profit_margin,rev_tier,is_returned,is_cancelled,seg_total,seg_share_pct
GM10000,C090,2023-07-02,Central,Electronics,Enterprise,Delivered,12,121.99633285746697,15,186.59952547442987,3,1244.36,239.49,2023,2023-07,2023Q3,Sunday,True,1057.76,19.25,Low,0,0,1511486.14,0.082
GM10001,C122,2023-10-07,North,Sports,Enterprise,Cancelled,12,267.98116643381184,15,61.7048748083516,3,2733.41,219.33,2023,2023-10,2023Q4,Saturday,True,2671.71,8.02,Low,0,1,1511486.14,0.181
GM10002,C114,2023-11-16,Central,Clothing,B2B,Delivered,16,79.35506769866672,25,94.8355264701407,4,952.26,113.52,2023,2023-11,2023Q4,Thursday,False,857.42,11.92,Low,0,0,2559078.14,0.037
GM10003,C150,2024-11-25,East,Beauty,B2C,Delivered,7,680.5675015736355,25,128.13282602942422,5,3572.98,206.13,2024,2024-11,2024Q4,Monday,False,3444.85,5.77,Low,0,0,5282746.83,0.068
GM10004,C161,2024-12-18,South,Sports,Enterprise,Delivered,9,726.2408099904432,10,199.75780073154098,4,5882.55,1382.48,2024,2024-12,2024Q4,Wednesday,False,5682.79,23.5,Medium,0,0,1511486.14,0.389
GM10005,C157,2024-08-09,North,Electronics,B2B,Delivered,33,721.5052783495078,15,29.59633484610237,4,20238.22,5131.73,2024,2024-08,2024Q3,Friday,False,20208.62,25.36,High,0,0,2559078.14,0.791
GM10006,C047,2023-03-18,South,Home,B2C,Cancelled,4,652.8269844824091,25,39.78641656554518,5,1958.48,602.18,2023,2023-03,2023Q1,Saturday,True,1918.69,30.75,Low,0,1,5282746.83,0.037
GM10007,C058,2023-09-12,East,Sports,B2C,Cancelled,18,765.8855768749786,15,92.89413397598443,4,11718.05,2039.87,2023,2023-09,2023Q3,Tuesday,False,11625.16,17.41,High,0,1,5282746.83,0.222
GM10008,C024,2023-04-13,North,Sports,B2C,Delivered,2,208.49555534271136,25,18.30868966564303,2,312.74,63.15,2023,2023-04,2023Q2,Thursday,False,294.43,20.19,Low,0,0,5282746.83,0.006
GM10009,C139,2023-12-01,North,Sports,B2C,Delivered,15,759.5034005468195,10,58.30215833117661,5,10253.3,1840.5,2023,2023-12,2023Q4,Friday,False,10195.0,17.95,Medium,0,0,5282746.83,0.194
GM10010,C112,2024-01-09,East,Books,B2C,Returned,39,303.63875351024643,0,17.893303243771012,3,11841.91,2421.01,2024,2024-01,2024Q1,Tuesday,False,11824.02,20.44,High,1,0,5282746.83,0.224
GM10011,C186,2024-08-15,North,Electronics,B2C,Delivered,15,634.9049659291628,5,51.27746787815281,2,9047.4,2449.73,2024,2024-08,2024Q3,Thursday,False,8996.12,27.08,Medium,0,0,5282746.83,0.171
GM10012,C044,2024-01-03,Central,Books,B2C,Delivered,43,102.81303515826858,5,98.53540507174546,5,4199.91,316.7,2024,2024-01,2024Q1,Wednesday,False,4101.37,7.54,Medium,0,0,5282746.83,0.08
GM10013,C103,2023-02-02,North,Books,B2C,Delivered,47,285.36301219361616,10,174.67653714853463,5,12070.86,2206.09,2023,2023-02,2023Q1,Thursday,False,11896.18,18.28,High,0,0,5282746.83,0.228
GM10014,C186,2023-11-12,Central,Sports,B2C,Delivered,39,604.2936577283151,25,30.775986292009346,3,17675.59,2873.24,2023,2023-11,2023Q4,Sunday,True,17644.81,16.26,High,0,0,5282746.83,0.335
GM10015,C175,2024-06-22,South,Clothing,Enterprise,Delivered,39,80.38270823038314,25,141.85292937401746,1,2351.19,655.94,2024,2024-06,2024Q2,Saturday,True,2209.34,27.9,Low,0,0,1511486.14,0.156
GM10016,C067,2024-09-19,South,Clothing,B2C,Delivered,15,157.69155284284653,0,45.97521729712908,4,2365.37,445.12,2024,2024-09,2024Q3,Thursday,False,2319.39,18.82,Low,0,0,5282746.83,0.045
GM10017,C166,2023-05-13,West,Electronics,B2B,Delivered,10,212.04168977808885,20,73.28452259136574,1,1696.33,366.8,2023,2023-05,2023Q2,Saturday,True,1623.05,21.62,Low,0,0,2559078.14,0.066
GM10018,C097,2023-09-19,South,Books,B2B,Delivered,49,571.0763050840133,10,140.47457054250668,3,25184.47,5763.75,2023,2023-09,2023Q3,Tuesday,False,25044.0,22.89,High,0,0,2559078.14,0.984
GM10019,C048,2023-08-14,West,Clothing,Enterprise,Pending,45,129.95618566547896,0,45.991791113928436,5,5848.03,1240.82,2023,2023-08,2023Q3,Monday,False,5802.04,21.22,Medium,0,0,1511486.14,0.387
GM10020,C051,2024-12-27,East,Books,B2C,Delivered,24,547.1604420277763,20,118.6858167948004,3,10505.48,575.99,2024,2024-12,2024Q4,Friday,False,10386.79,5.48,Medium,0,0,5282746.83,0.199
GM10021,C166,2023-03-11,North,Electronics,Enterprise,Delivered,48,739.0512991630009,5,160.83201404777515,3,33700.74,6602.22,2023,2023-03,2023Q1,Saturday,True,33539.91,19.59,High,0,0,1511486.14,2.23
GM10022,C105,2024-02-03,North,Electronics,Enterprise,Delivered,12,798.6308845474653,25,61.78821641702231,3,7187.68,1479.97,2024,2024-02,2024Q1,Saturday,True,7125.89,20.59,Medium,0,0,1511486.14,0.476
GM10023,C005,2023-04-03,South,Electronics,Enterprise,Delivered,27,193.85770080535798,5,181.21928363386746,4,4972.45,1288.17,2023,2023-04,2023Q2,Monday,False,4791.23,25.91,Medium,0,0,1511486.14,0.329
GM10024,C056,2023-12-31,West,Clothing,B2C,Delivered,30,333.7944083319509,10,33.720008882539204,5,9012.45,1653.48,2023,2023-12,2023Q4,Sunday,True,8978.73,18.35,Medium,0,0,5282746.83,0.171
GM10025,C044,2024-07-01,West,Home,B2C,Delivered,5,245.38689679386107,15,32.46921049886382,4,1042.89,273.2,2024,2024-07,2024Q3,Monday,False,1010.42,26.2,Low,0,0,5282746.83,0.02
GM10026,C056,2024-04-01,Central,Electronics,B2C,Returned,18,607.9448461732766,15,134.34254392543954,4,9301.56,1927.49,2024,2024-04,2024Q2,Monday,False,9167.22,20.72,Medium,1,0,5282746.83,0.176
GM10027,C062,2023-07-10,North,Home,B2C,Delivered,44,468.00432796564866,25,107.2619185567564,5,15444.14,4068.29,2023,2023-07,2023Q3,Monday,False,15336.88,26.34,High,0,0,5282746.83,0.292
GM10028,C095,2024-04-01,South,Clothing,B2B,Delivered,19,708.800801278212,10,192.5363270569963,2,12120.49,1468.02,2024,2024-04,2024Q2,Monday,False,11927.95,12.11,High,0,0,2559078.14,0.474
GM10029,C024,2023-10-31,Central,Clothing,B2C,Pending,36,514.1221125782107,0,93.70674027544099,5,18508.4,3504.06,2023,2023-10,2023Q4,Tuesday,False,18414.69,18.93,High,0,0,5282746.83,0.35
GM10030,C186,2024-08-28,South,Electronics,B2B,Cancelled,36,335.14790611720247,5,124.43537100583463,3,11462.06,2138.4,2024,2024-08,2024Q3,Wednesday,False,11337.62,18.66,High,0,1,2559078.14,0.448
GM10031,C088,2023-07-03,North,Clothing,B2B,Delivered,23,114.5062420523157,0,100.47643084561311,4,2633.64,588.09,2023,2023-07,2023Q3,Monday,False,2533.16,22.33,Low,0,0,2559078.14,0.103
GM10032,C074,2024-06-16,West,Electronics,B2C,Delivered,23,36.91508812696131,20,28.70539611897115,5,679.24,218.41,2024,2024-06,2024Q2,Sunday,True,650.53,32.16,Low,0,0,5282746.83,0.013
GM10033,C127,2024-04-14,East,Sports,Enterprise,Delivered,49,333.67574514573835,25,96.1405011039368,5,12262.58,1878.29,2024,2024-04,2024Q2,Sunday,True,12166.44,15.32,High,0,0,1511486.14,0.811
GM10034,C103,2024-04-02,North,Beauty,B2C,Delivered,10,182.4615850353721,10,155.44172709329186,4,1642.15,430.82,2024,2024-04,2024Q2,Tuesday,False,1486.71,26.24,Low,0,0,5282746.83,0.031
GM10035,C087,2023-08-01,Central,Clothing,B2C,Delivered,39,734.1916707951475,5,61.91656644711862,4,27201.8,8457.05,2023,2023-08,2023Q3,Tuesday,False,27139.88,31.09,High,0,0,5282746.83,0.515
GM10036,C094,2024-09-12,West,Home,B2C,Delivered,36,312.683631824156,15,12.351371324665719,4,9568.12,2314.54,2024,2024-09,2024Q3,Thursday,False,9555.77,24.19,Medium,0,0,5282746.83,0.181
GM10037,C167,2024-04-16,East,Home,B2B,Returned,9,285.7070295270478,25,39.01991709079435,4,1928.52,337.4,2024,2024-04,2024Q2,Tuesday,False,1889.5,17.5,Low,1,0,2559078.14,0.075
GM10038,C127,2023-10-18,Central,Sports,B2B,Delivered,2,132.95193625809287,15,133.06000566939827,5,226.02,67.07,2023,2023-10,2023Q4,Wednesday,False,92.96,29.67,Low,0,0,2559078.14,0.009
GM10039,C128,2024-05-04,Central,Electronics,B2C,Delivered,2,104.43124081240204,25,78.02312640612743,3,156.65,24.32,2024,2024-05,2024Q2,Saturday,True,78.63,15.53,Low,0,0,5282746.83,0.003
GM10040,C097,2024-10-06,Central,Beauty,Enterprise,Delivered,16,176.04862107292996,10,190.03383061832247,1,2535.1,651.9,2024,2024-10,2024Q4,Sunday,True,2345.07,25.71,Low,0,0,1511486.14,0.168
GM10041,C171,2024-07-16,East,Sports,B2B,Delivered,43,289.14314201445853,20,177.3165422797515,3,9946.52,3369.69,2024,2024-07,2024Q3,Tuesday,False,9769.2,33.88,Medium,0,0,2559078.14,0.389
GM10042,C138,2023-11-18,West,Home,B2B,Delivered,40,637.4268091901288,0,151.7638311636389,4,25497.07,5752.44,2023,2023-11,2023Q4,Saturday,True,25345.31,22.56,High,0,0,2559078.14,0.996
GM10043,C065,2024-12-13,South,Electronics,B2B,Returned,5,188.57896022375476,15,189.37440017145528,5,801.46,98.61,2024,2024-12,2024Q4,Friday,False,612.09,12.3,Low,1,0,2559078.14,0.031
GM10044,C061,2024-12-29,North,Clothing,B2C,Returned,39,429.80712049198326,10,170.74846795464393,4,15086.23,1337.56,2024,2024-12,2024Q4,Sunday,True,14915.48,8.87,High,1,0,5282746.83,0.286
GM10045,C123,2023-04-07,West,Clothing,B2B,Delivered,8,784.5902123416048,25,83.83554075839916,4,4707.54,611.1,2023,2023-04,2023Q2,Friday,False,4623.7,12.98,Medium,0,0,2559078.14,0.184
GM10046,C105,2023-06-14,East,Home,B2C,Cancelled,11,94.90925233741656,0,125.78492624064863,2,1044.0,317.73,2023,2023-06,2023Q2,Wednesday,False,918.22,30.43,Low,0,1,5282746.83,0.02
GM10047,C006,2023-03-08,North,Sports,B2B,Delivered,3,239.4963147110863,25,168.8996068613105,4,538.87,49.31,2023,2023-03,2023Q1,Wednesday,False,369.97,9.15,Low,0,0,2559078.14,0.021
GM10048,C167,2024-09-12,West,Beauty,B2C,Delivered,49,745.640948052949,0,60.009999685314476,3,36536.41,9574.71,2024,2024-09,2024Q3,Thursday,False,36476.4,26.21,High,0,0,5282746.83,0.692
GM10049,C023,2024-07-12,East,Home,Enterprise,Returned,38,284.1747929796039,0,157.26974326305168,4,10798.64,2546.45,2024,2024-07,2024Q3,Friday,False,10641.37,23.58,Medium,1,0,1511486.14,0.714
GM10050,C067,2024-03-02,Central,Home,Enterprise,Delivered,10,115.33003462111796,10,181.99055849679604,4,1037.97,221.0,2024,2024-03,2024Q1,Saturday,True,855.98,21.29,Low,0,0,1511486.14,0.069
GM10051,C113,2023-07-29,South,Books,B2C,Pending,30,736.1972640942398,5,71.68192336666458,3,20981.62,4759.53,2023,2023-07,2023Q3,Saturday,True,20909.94,22.68,High,0,0,5282746.83,0.397
GM10052,C138,2023-01-09,South,Electronics,B2B,Delivered,20,174.28041871891932,20,90.59392258812348,3,2788.49,317.18,2023,2023-01,2023Q1,Monday,False,2697.9,11.37,Low,0,0,2559078.14,0.109
GM10053,C125,2024-06-08,North,Electronics,B2C,Returned,26,26.381512478677152,5,86.06204060202829,3,651.62,144.68,2024,2024-06,2024Q2,Saturday,True,565.56,22.2,Low,1,0,5282746.83,0.012
GM10054,C124,2024-05-18,East,Sports,B2B,Delivered,17,562.4694942022306,10,174.75193624260342,5,8605.78,2976.81,2024,2024-05,2024Q2,Saturday,True,8431.03,34.59,Medium,0,0,2559078.14,0.336
GM10055,C088,2024-01-11,West,Electronics,B2C,Delivered,24,628.8988297297585,5,158.01749458606434,4,14338.89,1144.21,2024,2024-01,2024Q1,Thursday,False,14180.87,7.98,High,0,0,5282746.83,0.271
GM10056,C157,2024-03-30,West,Beauty,B2C,Delivered,26,202.3429149670508,20,25.253676332744057,4,4208.73,1110.5,2024,2024-03,2024Q1,Saturday,True,4183.48,26.39,Medium,0,0,5282746.83,0.08
GM10057,C039,2023-05-01,North,Electronics,B2B,Delivered,40,453.8056704243304,25,71.7536527560047,4,13614.17,2046.89,2023,2023-05,2023Q2,Monday,False,13542.42,15.03,High,0,0,2559078.14,0.532
GM10058,C054,2023-09-03,East,Clothing,B2B,Cancelled,7,414.82601950566317,10,14.767626948486999,3,2613.4,205.14,2023,2023-09,2023Q3,Sunday,True,2598.63,7.85,Low,0,1,2559078.14,0.102
GM10059,C142,2024-08-25,North,Electronics,B2B,Delivered,3,356.2473820538726,10,99.41971670383352,1,961.87,129.37,2024,2024-08,2024Q3,Sunday,True,862.45,13.45,Low,0,0,2559078.14,0.038
GM10060,C167,2023-04-29,North,Electronics,B2B,Delivered,1,80.12039138906123,0,141.25073297321393,5,80.12,20.4,2023,2023-04,2023Q2,Saturday,True,-61.13,25.46,Low,0,0,2559078.14,0.003
GM10061,C164,2023-10-15,East,Home,B2C,Cancelled,35,473.2726886177495,20,47.0991765684997,5,13251.64,3474.9,2023,2023-10,2023Q4,Sunday,True,13204.54,26.22,High,0,1,5282746.83,0.251
GM10062,C157,2023-11-11,South,Clothing,B2B,Cancelled,15,720.9115527021121,10,186.08504685431265,2,9732.31,1505.74,2023,2023-11,2023Q4,Saturday,True,9546.22,15.47,Medium,0,1,2559078.14,0.38
